id,product_name,category,subcategory,article_type,base_colour,gender,season,usage,price,image_path
1,Turtle Check Men Navy Blue Shirt,Apparel,Topwear,Shirts,Navy Blue,Men,Fall,Casual,49.99,product_images/product_1.jpg
2,Peter England Men Party Blue Jeans,Apparel,Bottomwear,Jeans,Blue,Men,Summer,Casual,49.99,product_images/product_2.jpg
3,Titan Women Silver Watch,Accessories,Watches,Watches,Silver,Women,Winter,Casual,49.99,product_images/product_3.jpg
4,Manchester United Men Solid Black Track Pants,Apparel,Bottomwear,Track Pants,Black,Men,Fall,Casual,49.99,product_images/product_4.jpg
5,Puma Men Grey T-shirt,Apparel,Topwear,Tshirts,Grey,Men,Summer,Casual,49.99,product_images/product_5.jpg
6,Inkfruit Mens Chain Reaction T-shirt,Apparel,Topwear,Tshirts,Grey,Men,Summer,Casual,49.99,product_images/product_6.jpg
7,Fabindia Men Striped Green Shirt,Apparel,Topwear,Shirts,Green,Men,Summer,Ethnic,49.99,product_images/product_7.jpg
8,Jealous 21 Women Purple Shirt,Apparel,Topwear,Shirts,Purple,Women,Summer,Casual,49.99,product_images/product_8.jpg
9,Puma Men Pack of 3 Socks,Accessories,Socks,Socks,Navy Blue,Men,Summer,Casual,49.99,product_images/product_9.jpg
10,Skagen Men Black Watch,Accessories,Watches,Watches,Black,Men,Winter,Casual,49.99,product_images/product_10.jpg
11,Puma Men Future Cat Remix SF Black Casual Shoes,Footwear,Shoes,Casual Shoes,Black,Men,Summer,Casual,49.99,product_images/product_11.jpg
12,Fossil Women Black Huarache Weave Belt,Accessories,Belts,Belts,Black,Women,Summer,Casual,49.99,product_images/product_12.jpg
13,Fila Men Cush Flex Black Slippers,Footwear,Flip Flops,Flip Flops,Black,Men,Fall,Casual,49.99,product_images/product_13.jpg
14,Murcia Women Blue Handbag,Accessories,Bags,Handbags,Blue,Women,Summer,Casual,49.99,product_images/product_14.jpg
15,Ben 10 Boys Navy Blue Slippers,Footwear,Flip Flops,Flip Flops,Navy Blue,Boys,Fall,Casual,49.99,product_images/product_15.jpg
16,Reid & Taylor Men Check Purple Shirts,Apparel,Topwear,Shirts,Purple,Men,Fall,Formal,49.99,product_images/product_16.jpg
17,Police Men Black Dial Watch PL12889JVSB,Accessories,Watches,Watches,Black,Men,Winter,Casual,49.99,product_images/product_17.jpg
18,Gini and Jony Girls Knit White Top,Apparel,Topwear,Tops,White,Girls,Summer,Casual,49.99,product_images/product_18.jpg
19,Bwitch Beige Full-Coverage Bra BW335,Apparel,Innerwear,Bra,Beige,Women,Summer,Casual,49.99,product_images/product_19.jpg
20,Baggit Women Brown Handbag,Accessories,Bags,Handbags,Brown,Women,Summer,Casual,49.99,product_images/product_20.jpg
